date,ftraffic,ltr,rtl,dow,month,s_holid,p_holid,br_mo,br_fr,bweek,fest
2020-08-05,31655.0,,,Wednesday,August,1,0,0,0,0,0
2020-08-06,28571.0,,,Thursday,August,1,0,0,0,0,0
2020-08-07,27096.0,,,Friday,August,1,0,0,0,0,0
2020-08-08,28137.0,,,Saturday,August,1,0,0,0,0,0
2020-08-09,6071.0,,,Sunday,August,1,0,0,0,0,0
2020-08-10,24624.0,,,Monday,August,1,0,0,0,0,0
2020-08-11,22706.0,,,Tuesday,August,1,0,0,0,0,0
2020-08-12,24952.0,,,Wednesday,August,1,0,0,0,0,0
2020-08-13,24385.0,,,Thursday,August,1,0,0,0,0,0
2020-08-14,29969.0,,,Friday,August,1,0,0,0,0,0
2020-08-15,10024.0,,,Saturday,August,1,1,0,0,0,0
2020-08-16,7136.0,,,Sunday,August,1,0,0,0,0,0
2020-08-17,30477.0,,,Monday,August,1,0,0,0,0,0
2020-08-18,30286.0,,,Tuesday,August,1,0,0,0,0,0
2020-08-19,29258.0,,,Wednesday,August,1,0,0,0,0,0
2020-08-20,25459.0,,,Thursday,August,1,0,0,0,0,0
2020-08-21,22116.0,,,Friday,August,1,0,0,0,0,0
2020-08-22,36099.0,,,Saturday,August,1,0,0,0,0,0
2020-08-23,7750.0,,,Sunday,August,1,0,0,0,0,0
2020-08-24,30300.0,,,Monday,August,1,0,0,0,0,0
2020-08-25,29391.0,,,Tuesday,August,1,0,0,0,0,0
2020-08-26,29147.0,,,Wednesday,August,1,0,0,0,0,0
2020-08-27,30555.0,,,Thursday,August,1,0,0,0,0,0
2020-08-28,30260.0,,,Friday,August,1,0,0,0,0,0
2020-08-29,39757.0,,,Saturday,August,1,0,0,0,0,0
2020-08-30,3556.0,,,Sunday,August,1,0,0,0,0,0
2020-08-31,32166.0,,,Monday,August,1,0,0,0,0,0
2020-09-01,31606.0,,,Tuesday,September,1,0,0,0,0,0
2020-09-02,32834.0,,,Wednesday,September,1,0,0,0,0,0
2020-09-03,33296.0,,,Thursday,September,1,0,0,0,0,0
2020-09-04,32887.0,,,Friday,September,1,0,0,0,0,0
2020-09-05,42175.0,,,Saturday,September,1,0,0,0,0,0
